"F_2.5_13","F_2.5_14","F_2.5_16","F_2.5_27","F_2.5_3","F_2.5_30","F_2.5_31","F_2.5_42","F_2.5_49","Q_2.5_13","Q_2.5_14","Q_2.5_16","Q_2.5_27","Q_2.5_3","Q_2.5_30","Q_2.5_31","Q_2.5_42","Q_2.5_49"
"11",2.00319199878073,2.09836982636706,3.52226196198832,3.46261115866537,2.54997457433508,3.37066988572882,3.40286604789168,3.43733882919108,3.01044566150062,3.37893576576598,3.50511988152235,3.33715051384711,3.0571463350329,3.49671089044207,3.41940293889239,3.31076902111621,3.44466399475313,3.3979125253347
"12",1.88315879629256,1.98553646482089,3.22167935550524,3.2455603859084,2.33920472329894,3.13094507315825,3.14066297707203,3.23405267850656,2.79587877331281,3.16114920942388,3.23910292576386,3.06269199904075,2.82683135094896,3.28194696088686,3.218158230149,3.05899541517773,3.18210882866423,3.15006011725467
"13",1.78418022594997,1.89412042787427,2.97809595848609,3.06009108809443,2.17400006934759,2.9324722249222,2.9316656737553,3.06332903188362,2.61618850503909,2.97371778232781,3.0181638719764,2.84079744577378,2.63832868578819,3.09618243031618,3.0480635200322,2.85913350628789,2.96801959019946,2.94265299502375
"14",1.70218372182366,1.81907818568769,2.77950202358641,2.90102613579708,2.04267523001991,2.76694351877333,2.76315599906726,2.91841168544175,2.46517520195223,2.81212117981265,2.83310934484664,2.66030935354155,2.48247641979761,2.93483584535818,2.9031925834073,2.69828934909907,2.79145129731807,2.76798057534257
"15",1.63385703224526,1.75666829583467,2.61637613580639,2.76399441062133,1.93680610839555,2.62779915766813,2.62566773436357,2.79409307432106,2.337652588662,2.67243145652708,2.67677699474563,2.51240926309643,2.35230546173253,2.79410354705503,2.77879719262869,2.56707947601548,2.64421442395716,2.61986222318627
"16",1.576542173419,1.70410675389098,2.48126597941626,2.64534961732925,1.85029249397939,2.50988056806216,2.51215719101165,2.68635746282155,2.22935420756072,2.55127781516054,2.54358935139152,2.39021538511307,2.24250848897866,2.67082660697408,2.67109628880392,2.45864488390153,2.52014707303925,2.49336966007295
"17",1.5281225798414,1.65930990606227,2.36837774896909,2.54207399774838,1.7786821343927,2.40913422886986,2.4173638388627,2.59209840450633,2.13680827573499,2.44579577405231,2.4291923343795,2.2883913533068,2.14902568181331,2.56237809573562,2.57708629461055,2.36793251296508,2.41457604192725,2.38457953273455
"18",1.48691875630179,1.62070629889937,2.2732169756927,2.4516814507831,1.71869318801707,2.32236968693216,2.33733387584181,2.50890062941775,2.05720760115986,2.35356882023509,2.33017150968892,2.20280640860398,2.06873088122947,2.46656924417842,2.49438038341129,2.29118269870071,2.32392411012554,2.29036522201846
"19",1.45159867753752,1.5871002628159,2.19229354063685,2.37212805500093,1.66787973135,2.24706726848624,2.26907172307419,2.43487414061314,1.98828901974123,2.27256871844679,2.24383353925183,2.13025813560538,1.99919765390356,2.38157210606426,2.42107720308122,2.22556701733063,2.24542574995845,2.20822772640276
"20",1.421104119872,1.55757331495142,2.1228883056051,2.30173357045679,1.62439773752639,2.18122788708279,2.21028731136871,2.36852900973787,1.92822863041725,2.20109858443411,2.16803958958392,2.06825439485603,1.93852625895852,2.30585614589357,2.35565610414113,2.16893289994324,2.17692138862829,2.13616122582613
"21",1.39459167234371,1.53141283266,2.06287256169918,2.2391148025787,1.58684075867779,2.1232569045087,2.15921326441673,2.30868119081761,1.87555427964589,2.13774107500333,2.10107893915745,2.01484547703444,1.88521591702836,2.23813635296051,2.29689471123924,2.11962301137694,2.1167079476758,2.07254757681247
"22",1.37138625371157,1.50806027208381,2.01057010279241,2.18313024467141,1.55412379134265,2.07187478022797,2.1144724100638,2.25438167517307,1.82907425588675,2.08131274531663,2.04157315594505,1.96849645846294,1.83807034446633,2.17733079748119,2.24380461969992,2.07634672619946,2.06342956149262,2.01607408220108
"23",1.35094482222721,1.48707337766345,1.96465252784817,2.13283473674133,1.52540050717053,2.02604844253844,2.07498133141457,2.20486309783431,1.78782009886607,2.03082475884543,1.98840330979739,1.92799068540926,1.79612757636505,2.12252588263924,2.19558145219972,2.0380879313346,2.01599702559129,1.96566958153089
"24",1.33282817647788,1.46809842586413,1.924059931865,2.08744266213919,1.50000370703951,1.98493853408017,2.03987971398326,2.15949936189379,1.75100116726477,1.98544962036094,1.94065447379914,1.89235690647939,1.75860751002035,2.07294785754043,2.15156612868349,2.00403826798488,1.9735278870299,1.92045478000407
"25",1.3166790779183,1.45084969382744,1.88794077979884,2.04629823474252,1.47740205665435,1.94785875916807,2.0084782085019,2.11777497760178,1.71796873924755,1.94449333743767,1.89757319737179,1.8608141846279,1.72487240859563,2.02793942322198,2.11121481721745,1.97354830735633,1.93530146884956,1.87970356824657
