"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Ferrihydrite_3_44",1202,0.864739923870984,0.906287900362842,0.00947181271492982,1,-4.38648627694773,0.0099009900990099,100
"Heavy Fraction_2.5_13",559,0.830156085303377,0.910568018375107,0.012642294741541,1,-6.360548833552,0.0099009900990099,100
"Heavy Fraction_2.5_3",622,0.847168527579726,0.906920350999063,0.0114606134831296,1,-5.21366709620682,0.0099009900990099,100
"Heavy Fraction_2.5_42",961,0.866829467091571,0.908303680497745,0.00949721396067215,1,-4.36698736891876,0.0099009900990099,100
"Kaolinite_2.5_14",538,0.845896351823777,0.909405314411608,0.0123844733965697,1,-5.12811167291315,0.0099009900990099,100
"Kaolinite_2.5_16",1379,0.879230766957399,0.907070837780053,0.00801066765216527,1,-3.47537459192054,0.0099009900990099,100
"Kaolinite_2.5_3",3128,0.885772412726955,0.90679484135839,0.00421622908721543,1,-4.98607362089983,0.0099009900990099,100
"Kaolinite_2.5_42",642,0.809081048012014,0.909184503572106,0.0120427954191428,1,-8.31231056212833,0.0099009900990099,100
"Kaolinite_3_12",574,0.801920245787499,0.907166518680945,0.0119309298915993,1,-8.8212967345949,0.0099009900990099,100
"Kaolinite_3_23",120,0.78711243977591,0.911752288459384,0.0294120914142698,1,-4.23770778241912,0.0099009900990099,100
"Quartz_2_33",1158,0.830343362247967,0.907580207988171,0.00841930180037507,1,-9.17378276388232,0.0099009900990099,100
"Quartz_2.5_13",1702,0.856344370118911,0.90698673384468,0.00738456409106991,1,-6.85786772262021,0.0099009900990099,100
"Quartz_2.5_14",2587,0.875803058142757,0.90629364958961,0.0054676654829049,1,-5.57652832679402,0.0099009900990099,100
"Quartz_2.5_16",2931,0.884742321163786,0.906770032629849,0.00487113105567415,1,-4.52209378362011,0.0099009900990099,100
"Quartz_2.5_27",2088,0.860413757396178,0.906441777453154,0.00616210043699031,1,-7.46953421607269,0.0099009900990099,100
"Quartz_2.5_3",1464,0.864263280948272,0.906644230905318,0.00745342764749906,1,-5.68610201391929,0.0099009900990099,100
"Quartz_2.5_30",1030,0.832843954428373,0.906955099718833,0.00864868627728281,1,-8.56906389183352,0.0099009900990099,100
"Quartz_2.5_31",2328,0.865340697017088,0.907149117375254,0.0059815715343684,1,-6.98953780255698,0.0099009900990099,100
"Quartz_2.5_42",2568,0.872701836213163,0.907109866125773,0.0056236201927308,1,-6.11848395399932,0.0099009900990099,100
"Quartz_2.5_49",1778,0.865445350969424,0.906320467471434,0.00829031830514382,1,-4.93046406633733,0.0099009900990099,100
"Quartz_3_12",2461,0.899524616141895,0.906649609740703,0.00570599076626754,12,-1.24868649296268,0.118811881188119,100
"Quartz_3_20",952,0.856363012264843,0.906221131789845,0.0113385659320313,1,-4.3972156464826,0.0099009900990099,100
"Quartz_3_22",475,0.821956553231179,0.909113846484566,0.0154504464088099,1,-5.64108576200681,0.0099009900990099,100
"Quartz_3_23",274,0.733753207400872,0.909179301973209,0.0188441330105395,1,-9.30932160552158,0.0099009900990099,100
"Quartz_3_44",1817,0.876412543513416,0.906461435976909,0.00784917712085049,1,-3.8282856917156,0.0099009900990099,100
"Soil_2_15",1672,0.855912921967478,0.907473412101312,0.00708451045063789,1,-7.27791856516935,0.0099009900990099,100
"Soil_2_28",2205,0.863304502281978,0.907093897490113,0.00576801644302607,1,-7.59175977403458,0.0099009900990099,100
"Soil_2_31",1737,0.845148184459142,0.907056201536629,0.00701630421874386,1,-8.8234510858439,0.0099009900990099,100
"Soil_2_33",1752,0.858823268934386,0.907459661222094,0.00744939452659321,1,-6.52890541829718,0.0099009900990099,100
"Soil_2_9",845,0.822951784738776,0.908048604046103,0.00972422999044074,1,-8.75100850051685,0.0099009900990099,100
"Soil_2.5_13",1527,0.845188113133539,0.907442477290295,0.00719930690572201,1,-8.64727187936325,0.0099009900990099,100
"Soil_2.5_14",2396,0.865847666131095,0.907469397442467,0.00617585973337426,1,-6.73942302906399,0.0099009900990099,100
"Soil_2.5_16",1564,0.847435941341737,0.90726157033739,0.00717057888406724,1,-8.34320770511049,0.0099009900990099,100
"Soil_2.5_27",1954,0.859361345697588,0.906146053248578,0.0066787104216462,1,-7.00505106485183,0.0099009900990099,100
"Soil_2.5_3",1905,0.85772933744679,0.907590753713029,0.00700206008134059,1,-7.12096378594518,0.0099009900990099,100
"Soil_2.5_49",2918,0.871269063552435,0.906875577499934,0.00496610731562813,1,-7.16990424984295,0.0099009900990099,100
"Soil_3_12",2128,0.862128028383724,0.906801018444427,0.00616038836947501,1,-7.25165158126396,0.0099009900990099,100
"Soil_3_20",2186,0.867822820905241,0.906790158263466,0.00664069088215859,1,-5.86796435035365,0.0099009900990099,100
"Soil_3_22",2041,0.85982519932559,0.907281485972755,0.00635777874034192,1,-7.46428722755651,0.0099009900990099,100
"Soil_3_23",553,0.774493969127552,0.906509976148544,0.0118154583991903,1,-11.1731599876006,0.0099009900990099,100
"Soil_3_44",1792,0.859606046440038,0.90691089504903,0.00755644044809182,1,-6.26020266207985,0.0099009900990099,100
