"Month","Trtmt","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","Total","padj","Minerals"
"36",2,"Ferrihydrite","71.2_45761",1.12655257346488,0.333381886064412,1.20638533569165,0.782280975814571,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.857844603681495,"Minerals"
"37",2,"Ferrihydrite","67_37049",1.24847718218375,5.73125999507972,1.861513247911,0.0020782378754858,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.0146687172580776,"Minerals"
"38",2,"Ferrihydrite","103_30013",2.82467520564032,-2.416189125994,1.25475113916308,0.0541503221564772,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.14217791920931,"Minerals"
"39",2,"Ferrihydrite","58_18",1.07309701070938,-3.87401213516435,2.03535517853009,0.0569936826013496,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.144604661119214,"Minerals"
"40",2,"Ferrihydrite","96_212223",1.10148857446809,-4.25914204186885,2.008893759444,0.0339939876148332,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.10276338622185,"Minerals"
"41",2,"Ferrihydrite","89_38255",37.0619859578066,5.9885847686347,2.30868678169272,NA,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Niabella",NA,18848.5892299592,NA,"Minerals"
"42",2,"Ferrihydrite","55_65686",3.40926516424076,0.18806048698606,0.872605270662729,0.829364959013421,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.892889349943298,"Minerals"
"43",2,"Ferrihydrite","69_671",0.849267098521337,-0.615972303671092,1.33668636239184,0.644927486228635,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.747602508911801,"Minerals"
"44",2,"Ferrihydrite","67_140955",2.06556824700388,1.99988186056807,0.987907901827268,0.0429330596953228,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.122490647865431,"Minerals"
"45",2,"Ferrihydrite","73_562622",0.703450796085756,2.51586039705381,1.44131898304115,0.0808932737485299,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.178373496372941,"Minerals"
