OTUId	2_12	2_9	2_6	2_3	Ferrihydrite	1_12	Heavy	1_9	Kaolinite	1_6	Quartz	1_3
OTU_241911;barcodelabel=2_12	5	0	0	0	0	0	0	2	0	0	0	0
OTU_118944;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_378381;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_218231;barcodelabel=2_12	8	0	0	0	1	0	0	0	0	0	0	0
OTU_34028;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_44716;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_129741;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_239501;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_38265;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_33264;barcodelabel=2_12	6	0	0	0	2	3	0	0	0	0	0	0
OTU_202481;barcodelabel=2_3	0	0	0	5	3	0	0	0	0	0	0	0
OTU_33817;barcodelabel=2_9	3	5	0	0	0	0	0	0	0	0	0	0
OTU_70694;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_37649;barcodelabel=2_12	5	0	0	0	1	0	0	0	0	0	0	0
OTU_39350;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_37611;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_2294;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_98626;barcodelabel=2_12	7	0	0	0	2	0	0	0	0	0	0	0
OTU_24396;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_246352;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	1	0
OTU_318568;barcodelabel=2_6	0	0	5	0	0	0	0	0	0	0	0	0
OTU_39363;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_269837;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_35413;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_70787;barcodelabel=2_12	5	1	0	0	0	2	2	0	0	0	0	0
OTU_224597;barcodelabel=2_12	5	0	0	0	2	0	0	0	0	0	0	0
OTU_52468;barcodelabel=2_12	5	0	0	0	0	0	0	0	0	0	0	0
OTU_182046;barcodelabel=2_9	0	4	0	0	0	0	0	0	0	0	0	0
OTU_104779;barcodelabel=2_9	0	4	0	0	0	0	0	0	0	0	0	0
OTU_210210;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_403601;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_40879;barcodelabel=2_12	4	0	0	0	2	0	0	0	0	0	0	0
OTU_216863;barcodelabel=2_6	0	0	4	0	3	0	0	0	0	0	0	0
OTU_211283;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_215674;barcodelabel=2_6	0	0	4	0	0	0	0	0	0	0	0	0
OTU_222787;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_139229;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_31782;barcodelabel=1_12	0	0	0	0	0	4	0	0	0	0	0	0
OTU_145214;barcodelabel=1_12	0	0	0	0	0	7	0	0	0	0	0	0
26_6438;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
OTU_128120;barcodelabel=2_12	4	0	0	0	0	3	0	0	0	0	0	0
OTU_351171;barcodelabel=2_12	6	0	0	0	1	0	0	0	0	0	0	0
OTU_33686;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_321396;barcodelabel=2_12	4	2	0	0	0	1	0	0	0	0	0	0
OTU_77504;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_337277;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
65_8447;barcodelabel=Ferrihydrite	4	0	0	0	1	0	0	0	0	0	0	0
OTU_200430;barcodelabel=2_12	4	0	0	0	1	0	0	0	0	0	0	0
OTU_193222;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_243239;barcodelabel=1_12	0	0	0	0	0	4	0	0	0	0	0	0
OTU_74814;barcodelabel=2_6	0	0	4	0	0	0	0	0	0	0	0	0
OTU_127716;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_35250;barcodelabel=1_3	0	0	4	0	0	0	0	0	0	0	0	1
OTU_62125;barcodelabel=2_12	4	0	0	0	1	0	0	0	0	0	0	0
OTU_70195;barcodelabel=2_12	6	0	0	0	0	0	0	0	0	0	0	0
OTU_33745;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_32765;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_70023;barcodelabel=1_12	0	0	0	0	0	4	0	6	0	2	0	0
OTU_36829;barcodelabel=1_12	0	0	0	0	2	4	0	0	0	0	0	0
OTU_164174;barcodelabel=1_12	0	0	0	0	0	4	0	0	0	0	0	0
40_14026;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
OTU_46113;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_35512;barcodelabel=2_9	0	4	0	0	0	0	0	0	0	0	0	0
OTU_36452;barcodelabel=2_9	0	4	0	0	0	0	0	0	2	0	0	0
OTU_36474;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
70.2_1283;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
OTU_34344;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_37168;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_2138;barcodelabel=2_12	4	0	0	0	0	0	1	0	0	0	0	0
OTU_294750;barcodelabel=2_3	0	0	0	4	0	0	0	0	0	0	0	0
OTU_41069;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_193433;barcodelabel=2_12	4	0	0	0	0	0	0	0	0	0	0	0
OTU_53609;barcodelabel=2_12	4	0	0	0	0	0	0	0	3	0	0	0
52_726;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
23_474;barcodelabel=Ferrihydrite	0	0	2	0	4	0	0	0	0	0	0	1
61_1062;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
4_39;barcodelabel=Ferrihydrite	0	0	0	0	4	0	0	0	0	0	0	0
OTU_303052;barcodelabel=2_9	0	4	0	0	0	0	0	0	0	0	0	0
10_132791;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_305520;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
OTU_36425;barcodelabel=1_12	0	0	0	0	0	3	1	0	0	0	0	0
71_16493;barcodelabel=Heavy	0	0	0	0	0	0	3	0	0	0	0	0
OTU_103590;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
OTU_32490;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_290835;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
64_15135;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_713;barcodelabel=2_12	3	0	0	0	3	0	0	0	0	0	0	0
OTU_125537;barcodelabel=2_12	3	0	0	0	1	0	0	0	0	0	0	0
7_4011;barcodelabel=Ferrihydrite	0	0	1	0	3	0	0	0	0	0	0	0
OTU_270715;barcodelabel=2_9	0	1	0	0	3	0	0	0	0	0	0	0
OTU_107126;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_40341;barcodelabel=1_12	0	0	0	0	1	3	0	0	0	0	0	0
77.2_46;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_39444;barcodelabel=1_12	0	0	0	0	2	3	0	0	0	0	0	0
OTU_35570;barcodelabel=2_12	3	0	0	0	2	0	0	0	0	0	0	0
OTU_182833;barcodelabel=2_6	0	0	3	0	2	0	0	0	0	0	0	0
OTU_61415;barcodelabel=2_12	3	0	0	0	1	0	0	0	0	0	0	0
OTU_27082;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
68_1350716;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
69.2_2943;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_38061;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	1	0
OTU_228950;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
76_1221;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	2	0	0	0	0
OTU_2083;barcodelabel=1_12	0	0	0	0	2	3	0	0	0	0	0	0
28_97969;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_59934;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
OTU_24841;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
37_216752;barcodelabel=Kaolinite	0	0	0	0	0	3	0	0	2	0	0	0
75_3102;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
28_16045;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_245753;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
OTU_88074;barcodelabel=2_12	3	0	0	0	2	0	0	0	0	0	0	0
OTU_45657;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
OTU_33300;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
