Season,Week,OTU,Domain,Phylum,Class,Order,Family,Genus,rhizo_enriched,rhizo_depleted,pvals_adj.adj...1.,pvals_adj.adj...2.,P
2,12,OTU_92390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,1,0,3.84E-07,1.14E-05,1
2,12,OTU_22921,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,1,0,4.41E-07,1.26E-05,1
2,12,OTU_34999,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,1,0,4.53E-07,1.26E-05,1
2,12,OTU_212921,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,1,0,5.34E-07,1.45E-05,1
2,12,OTU_114754,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Inquilinus,1,0,6.83E-07,1.77E-05,1
2,12,OTU_192233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,1,0,7.24E-07,1.83E-05,1
2,12,OTU_135707,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,1,0,7.48E-07,1.87E-05,1
2,12,OTU_234538,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,1,0,9.58E-07,2.26E-05,1
2,12,OTU_5976,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,1,0,1.13E-06,2.59E-05,1
2,12,OTU_88739,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,1,0,1.54E-06,3.37E-05,1
