"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Q_3_44",1817,0.079500489818382,0.116402223390204,0.00165544120469864,1,-22.2911774015794,0.0099009900990099,100
"S_2_15",1672,0.0751546889952153,0.120041407416268,0.00176286544589843,1,-25.4623621589999,0.0099009900990099,100
"S_2_28",2205,0.0703836961451247,0.10771240553288,0.00144852916646723,1,-25.7700778499303,0.0099009900990099,100
"S_2_31",1737,0.0745934599884859,0.118353161773172,0.00182747952116044,1,-23.9453855859896,0.0099009900990099,100
"S_2_33",1752,0.0729948515981735,0.117854890296804,0.00170529569929082,1,-26.30631081594,0.0099009900990099,100
"S_2_9",845,0.093215775147929,0.156401049230769,0.00370962422251744,1,-17.0327963946605,0.0099009900990099,100
"S_2.5_13",1527,0.079663163064833,0.124539254223969,0.00209709967263872,1,-21.3991217225594,0.0099009900990099,100
"S_2.5_14",2396,0.0721602003338898,0.104555748372287,0.00132842963397543,1,-24.3863485199823,0.0099009900990099,100
"S_2.5_16",1564,0.0785893414322251,0.123193065409207,0.00219761194726971,1,-20.296451351385,0.0099009900990099,100
"S_2.5_27",1954,0.0730373336745138,0.113027278761515,0.00168454178468966,1,-23.7393607273259,0.0099009900990099,100
"S_2.5_3",1905,0.0742679790026247,0.114326962099738,0.00174480411393638,1,-22.9590145834408,0.0099009900990099,100
"S_2.5_49",2918,0.0678358327621659,0.0967947480808773,0.00123383901725963,1,-23.4705783441908,0.0099009900990099,100
"S_3_12",2128,0.0763681719924812,0.109478517152256,0.00151947123908521,1,-21.7907021258976,0.0099009900990099,100
"S_3_20",2186,0.0710840713632205,0.108098883165599,0.00146977375982125,1,-25.1840200269192,0.0099009900990099,100
"S_3_22",2041,0.0723574326310632,0.111243687604116,0.00140251130492484,1,-27.7261615193442,0.0099009900990099,100
"S_3_23",553,0.100449620253165,0.182474453345389,0.00476120865019108,1,-17.2277333590353,0.0099009900990099,100
"S_3_44",1792,0.0775384263392857,0.117232107533482,0.0017573108831505,1,-22.5877399239876,0.0099009900990099,100
